Set No.,2023 Set,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,Player_Name
11,BA2,England,F,21-11-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,2,0,Do No Play,Do No Play,0,Capped,150,Will Jacks
11,BA2,England,F,03-09-1987,35,BATSMAN,LHB,RIGHT ARM Leg Spin,22,12,55,1,PBKS,Do No Play,0,Capped,150,Dawid Malan
11,BA2,India,KSCA,10-09-1989,33,BATSMAN,RHB,-,0,29,39,160,"MI, RCB,PWI, KKR, SRH, LSG",LSG,6,Capped,100,Manish Pandey
11,BA2,West Indies,F,15-08-1998,24,BATSMAN,LHB,-,0,0,6,10,"DC, MI, RR, RCB",RCB,3,Capped,150,Sherfane Rutherford
11,BA2,India,PCA,18-12-1991,31,BATSMAN,RHB,-,0,0,3,108,"KKR, RCB, PBKS, DC",DC,3,Capped,50,Mandeep Singh
11,BA2,Ireland,F,03-09-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,3,139,121,0,Do No Play,Do No Play,0,Capped,50,Paul Stirling
11,BA2,South Africa,F,07-02-1989,34,BATSMAN,RHB,RIGHT ARM Off Spin,17,38,41,3,RR,RR,3,Capped,200,Rassie Van Der Dussen
12,AL2,New Zealand,F,20-05-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,12,11,41,2,RR,RR,2,Capped,100,Daryl Mitchell
12,AL2,Afghanistan,F,01-01-1985,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,135,104,17,"SRH, KKR",KKR,0,Capped,100,Mohammad Nabi
12,AL2,New Zealand,F,17-09-1990,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,71,60,14,"DD, KXIP, MI, RR",RR,2,Capped,200,Jimmy Neesham
12,AL2,South Africa,F,30-07-1989,33,ALL-ROUNDER,LHB,LEFT ARM Fast,6,69,53,26,"PWI, DD",Do No Play,0,Capped,75,Wayne Parnell
12,AL2,Australia,F,27-10-1992,30,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,10,16,"DC, RCB, MI",MI,11,Capped,75,Daniel Sams
12,AL2,Sri Lanka,F,09-09-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,42,82,0,Do No Play,Do No Play,0,Capped,50,Dasun Shanaka
12,AL2,West Indies,F,26-11-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,18,23,3,SRH,SRH,3,Capped,50,Romario Shepherd
13,FA2,Bangladesh,F,03-04-1995,28,BOWLER,LHB,RIGHT ARM Fast,11,51,46,0,Do No Play,Do No Play,0,Capped,50,Taskin Ahmed
13,FA2,Sri Lanka,F,11-01-1992,31,BOWLER,RHB,RIGHT ARM Fast,12,42,52,12,LSG,LSG,12,Capped,50,Dushmanta Chameera
13,FA2,New Zealand,F,30-12-1994,28,BOWLER,RHB,RIGHT ARM Fast,16,8,8,9,RCB,Do No Play,0,Capped,100,Kyle Jamieson
13,FA2,Australia,F,21-06-1996,26,BOWLER,RHB,RIGHT ARM Fast,0,1,5,13,"PBKS, MI",MI,8,Capped,150,Riley Meredith
13,FA2,Zimbabwe,F,02-10-1996,26,BOWLER,RHB,RIGHT ARM Fast,6,33,34,0,Do No Play,Do No Play,0,Capped,50,Blessing Muzarabani
13,FA2,India,UTCA,18-05-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,2,104,"SRH, PBKS",PBKS,5,Capped,50,Sandeep Sharma
14,WK2,West Indies,F,14-01-1989,34,WICKETKEEPER,RHB,-,0,48,38,0,Do No Play,Do No Play,0,Capped,50,Johnson Charles
14,WK2,West Indies,F,28-11-1987,35,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,25,54,0,Do No Play,Do No Play,0,Capped,50,Andre Fletcher
14,WK2,West Indies,F,10-11-1993,29,WICKETKEEPER,RHB,-,38,104,19,0,Do No Play,Do No Play,0,Capped,100,Shai Hope
14,WK2,New Zealand,F,02-04-1992,31,WICKETKEEPER,LHB,-,68,116,18,0,Do No Play,Do No Play,0,Capped,100,Tom Latham
14,WK2,Australia,F,12-12-1994,28,WICKETKEEPER,RHB,-,0,5,23,0,Do No Play,Do No Play,0,Capped,50,Ben Mcdermott
14,WK2,Australia,F,01-06-1997,25,WICKETKEEPER,RHB,-,0,3,10,5,RCB,Do No Play,0,Capped,75,Joshua Philippe
14,WK2,Ireland,F,10-09-1996,26,WICKETKEEPER,RHB,-,0,29,49,0,Do No Play,Do No Play,0,Capped,50,Lorcan Tucker
15,SP2,India,GUCA,24-12-1988,34,BOWLER,LHB,RIGHT ARM Leg Spin,3,25,7,165,"KXIP, KKR, CSK, MI",Do No Play,0,Capped,50,Piyush Chawla
15,SP2,India,HCA,24-11-1982,40,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",Do No Play,0,Capped,50,Amit Mishra
15,SP2,India,JSCA,12-08-1989,33,BOWLER,RHB,LEFT ARM Slow Orthodox,2,0,0,72,"SRH, DD, RCB, LSG",LSG,0,Capped,50,Shahbaz Nadeem
15,SP2,New Zealand,F,31-10-1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,17,37,88,8,RR,Do No Play,0,Capped,75,Ish Sodhi
16,UBA2,India,KCA,18-12-1988,34,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,19,"RR, SRH, RCB",Do No Play,0,Uncapped,20,Sachin Baby
16,UBA2,India,CSCSCA,11-08-1991,31,BATSMAN,LHB,RIGHT ARM Medium,0,0,0,4,"KKR, PWI, RCB",Do No Play,0,Uncapped,20,Harpreet Bhatia
16,UBA2,India,ACA,15-11-1995,27,BATSMAN,RHB,RIGHT ARM Fast,0,0,0,0,DC,DC,0,Uncapped,20,Ashwin Hebbar
16,UBA2,India,PCA,07-06-2001,21,BATSMAN,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Pukhraj Mann
16,UBA2,India,MPCA,15-09-2003,19,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akshat Raghuwanshi
16,UBA2,India,HCA,01-10-1998,24,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Himanshu Rana
16,UBA2,India,KCA,16-10-2002,20,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shoun Roger
16,UBA2,India,JSCA,08-12-1997,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,3,SRH,Do No Play,0,Uncapped,20,Virat Singh
16,UBA2,England,F,26-10-2001,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Will Smeed
16,UBA2,India,VCA,14-03-1992,31,BATSMAN,RHB,-,0,0,0,0,"MI, KKR",Do No Play,0,Uncapped,30,Apoorv Wankhade
17,UAL2,India,KSCA,05-10-1998,24,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Manoj Bhandage
17,UAL2,South Africa,F,02-10-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gerald Coetzee
17,UAL2,India,HPCA,11-11-1996,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,KXIP,Do No Play,0,Uncapped,20,Mayank Dagar
17,UAL2,South Africa,F,01-05-2000,22,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Duan Jansen
17,UAL2,South Africa,F,05-08-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Evan Jones
17,UAL2,India,SCA,23-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,PBKS,PBKS,0,Uncapped,20,Prerak Mankad
17,UAL2,India,JKCA,17-01-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Abid Mushtaq
17,UAL2,India,MCA,29-01-2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Suryansh Shedge
17,UAL2,India,KSCA,16-01-1994,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,22,"MI, DC, KXIP, SRH",SRH,5,Uncapped,20,Jagadeesha Suchith
17,UAL2,India,HPCA,17-12-1994,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akash Vashisht
18,UWK2,India,ACA,29-09-1996,26,WICKETKEEPER,RHB,-,0,0,0,2,SRH,Do No Play,0,Uncapped,20,Ricky Bhui
18,UWK2,South Africa,F,21-07-1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Donovan Ferreira
18,UWK2,India,TNCA,08-07-1994,28,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,3,KKR,KKR,3,Uncapped,20,Baba Indrajith
18,UWK2,India,SCA,27-09-1986,36,WICKETKEEPER,RHB,-,0,0,0,9,KKR,KKR,5,Uncapped,20,Sheldon Jackson
18,UWK2,India,UPCA,11-11-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,MI,MI,0,Uncapped,20,Aryan Juyal
18,UWK2,India,GUCA,17-10-1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Urvil Patel
18,UWK2,India,ACA,19-09-1997,25,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kirant Shinde
18,UWK2,India,KSCA,15-01-2000,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,RCB,RCB,0,Uncapped,20,Luvnith Sisodia
18,UWK2,India,BCA,15-10-1992,30,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vishnu Solanki
18,UWK2,India,KCA,02-12-1993,29,WICKETKEEPER,RHB,-,0,0,0,3,"RCB, DC, SRH",SRH,0,Uncapped,20,Vishnu Vinod
19,UFA2,India,RCA,28-01-1990,33,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,5,RCB,Do No Play,0,Uncapped,30,Aniket Choudhary
19,UFA2,India,KSCA,25-02-1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vidwath Kaverappa
19,UFA2,India,CAU,08-07-1996,26,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajan Kumar
19,UFA2,India,CAB,29-10-2003,19,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ravi Kumar
19,UFA2,India,JSCA,23-12-2000,22,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,SRH,SRH,0,Uncapped,20,Sushant Mishra
19,UFA2,India,GUCA,17-10-1997,25,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Arzan Nagwaswalla
19,UFA2,India,CAB,05-09-1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,1,PBKS,PBKS,0,Uncapped,20,Ishan Porel
19,UFA2,India,NCA,26-04-2002,20,BOWLER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akash Singh
19,UFA2,India,KCA,11-09-1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,25,"GL, SRH, MI",MI,5,Uncapped,20,Basil Thampi
19,UFA2,Netherland,F,15-01-1993,30,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Associate,20,Paul Van Meekeren
19,UFA2,India,KSCA,31-01-1997,26,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vyshak Vijay Kumar
20,USP2,India,TNCA,05-09-1998,24,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,S.Ajith Ram
20,USP2,India,MACA,28-11-1992,30,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Satyajeet Bachhav
20,USP2,India,DDCA,01-02-1996,27,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,1,"GL, RR",RR,0,Uncapped,20,Tejas Baroka
20,USP2,India,SCA,23-11-1995,27,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Yuvraj Chudasama
20,USP2,Australia,F,27-11-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Peter Hatzoglou
20,USP2,UAE,F,08-10-2000,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Associate,20,Karthik Meiyappan
20,USP2,India,DDCA,15-05-2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Suyash Sharma
20,USP2,India,UPCA,14-11-1995,27,BOWLER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivam Sharma
21,BA3,South Africa,F,14-08-1989,33,BATSMAN,RHB,-,0,26,48,0,Do No Play,Do No Play,0,Capped,50,Reeza Hendricks
21,BA3,South Africa,F,24-09-1986,36,BATSMAN,RHB,RIGHT ARM Fast Medium,0,2,2,0,Do No Play,Do No Play,0,Capped,50,Christiaan Jonker
21,BA3,West Indies,F,16-12-1994,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,20,32,0,Do No Play,Do No Play,0,Capped,50,Brandon King
21,BA3,Australia,F,10-04-1990,32,BATSMAN,RHB,-,0,4,18,42,"DCH, KKR, MI",Do No Play,0,Capped,200,Chris Lynn
21,BA3,India,KSCA,06-12-1991,31,BATSMAN,RHB,RIGHT ARM Off Spin,6,2,0,76,"RCB, DD, KXIP, KKR, RR",RR,3,Capped,50,Karun Nair
21,BA3,Sri Lanka,F,18-05-1998,24,BATSMAN,RHB,-,9,17,36,0,Do No Play,Do No Play,0,Capped,50,Pathum Nissaanka
21,BA3,England,F,21-07-1990,32,BATSMAN,RHB,-,5,110,64,13,"GL, DC, SRH, GT",GT,0,Capped,150,Jason Roy
21,BA3,India,PCA,29-06-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,0,3,0,41,"KXIP, DD, RCB, KKR, GT",GT,0,Capped,50,Gurkeerat Singh
21,BA3,Ireland,F,06-12-1999,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,23,51,0,Do No Play,Do No Play,0,Capped,50,Harry Tector
21,BA3,Afghanistan,F,18-02-1993,30,BATSMAN,LHB,RIGHT ARM Off Spin,0,82,86,0,Do No Play,Do No Play,0,Capped,50,Najibullah Zadran
22,AL3,Australia,F,29-02-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,7,9,3,"RCB, SRH",SRH,1,Capped,150,Sean Abbott
22,AL3,Afghanistan,F,15-08-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,1,2,0,Do No Play,Do No Play,0,Capped,50,Qais Ahmad
22,AL3,Sri Lanka,F,29-06-1997,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,3,16,31,0,Do No Play,Do No Play,0,Capped,50,Charith Asalanka
22,AL3,New Zealand,F,14-02-1991,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,2,12,13,0,Do No Play,Do No Play,0,Capped,100,Michael Bracewell
22,AL3,West Indies,F,06-02-1998,25,ALL-ROUNDER,LHB,LEFT ARM Fast,0,0,10,0,GT,GT,0,Capped,50,Dominic Drakes
22,AL3,England,F,15-04-1997,25,ALL-ROUNDER,LHB,LEFT ARM Fast,0,0,1,5,RCB,Do No Play,0,Capped,50,George Garton
